#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Dynamite","Taio Cruz",73,120,"dance pop, pop, pop rap","Pop, Hip Hop","Rokstarr",2010-01-01,03:23,75,80,0,0,82,0,0,-3,E Major,4,2024-04-29,1DqdF42leyFIzqNDv9CjId,"Universal-Island Records Ltd.",12B,,https://i.scdn.co/image/ab67616d00004851a9006ae892a2255a865c0f7a
2,"Hey Ya!","Outkast",84,80,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop","Hip Hop","Speakerboxxx/The Love Below",2003-00-00,03:55,73,97,10,0,97,0,10,-2,E Minor,4,2024-04-29,2PpruBYCo4H7WOBJ7Q2EwM,"Arista",9A,https://p.scdn.co/mp3-preview/d24b3c4135ced9157b0ea3015a6bcc048e0c2e3a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516a6387ab37f64034cdc7b367
3,"Cooler Than Me - Single Mix","Mike Posner,Gigamesh",79,130,"dance pop, pop, pop dance, pop rap, filter house, nu disco","Pop, Electronic, R&B, Hip Hop","31 Minutes to Takeoff",2010-08-09,03:33,77,82,18,0,63,0,60,-5,G Minor,4,2024-04-29,2V4bv1fNWfTcyRJKmej6Sj,"J Records",6A,https://p.scdn.co/mp3-preview/649f480a624454b97a73e354568fcfb9214fdd46?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d6165c0d6eba7e5bf3fca16d
4,"Mr. Brightside","The Killers",87,148,"alternative rock, dance rock, modern rock, permanent wave, rock","Rock","Hot Fuss",2004-00-00,03:42,35,91,0,0,24,0,10,-5,C♯/D♭ Major,4,2024-04-29,003vvx7Niy0yvhvHt4a68B,"Island Records",3B,,https://i.scdn.co/image/ab67616d00004851ccdddd46119a4ff53eaf1f5d
5,"Rocketeer","Far East Movement,Ryan Tedder,Ruff Loaderz",67,96,"asian american hip hop, dance pop, pop rap, pop rock, ","Hip Hop, Pop, Rock","Free Wired",2010-01-01,03:31,66,85,18,0,36,0,20,-6,E Minor,4,2024-04-29,45sDIKapDyxPl307QpEAwl,"Interscope",9A,,https://i.scdn.co/image/ab67616d0000485158b08d62231dfca8d358b876
6,"Pumped Up Kicks","Foster The People",86,128,"indietronica, modern alternative rock, modern rock, rock","Pop, Rock","Torches",2011-05-23,03:59,73,71,14,12,97,0,10,-6,F Minor,4,2024-04-29,7w87IxuO7BDcJ3YUqCyMTT,"Columbia",4A,https://p.scdn.co/mp3-preview/2213bf4173a9b50a807a30121ed6b559a7778209?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851121d5f92cf90576907dfb1e5
7,"Break Your Heart","Taio Cruz,Ludacris",70,122,"dance pop, pop, pop rap, atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop, trap","Hip Hop, Pop","Rokstarr",2010-01-01,03:06,67,90,0,0,63,0,0,-5,G#/A♭ Major,4,2024-04-29,1CdqVF1ywD0ZO1zXtB9yWa,"Universal-Island Records Ltd.",4B,,https://i.scdn.co/image/ab67616d00004851a9006ae892a2255a865c0f7a
8,"Somebody That I Used To Know","Gotye,Kimbra",77,129,"australian pop, bergen indie, electropop, nz pop","Pop, Electronic","Making Mirrors",2011-01-01,04:04,86,50,59,0,72,0,10,-7,C Major,4,2024-04-29,4wCmqSrbyCgxEXROQE6vtV,"Samples & Seconds / Republic",8B,,https://i.scdn.co/image/ab67616d00004851e1d47c00ddecbfb810c807ed
9,"Blame (feat. John Newman)","Calvin Harris,John Newman",81,128,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance","Pop, Electronic","Motion",2014-10-31,03:32,41,86,3,1,35,0,30,-4,C Minor,4,2024-04-29,07nH4ifBxUB4lZcsf44Brn,"Columbia",5A,https://p.scdn.co/mp3-preview/31297ae5e2f5524fe28b18ed71abc79683c66a88?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851063c048e9ef6bd021b744756
10,"Just Can’t Get Enough","Black Eyed Peas",80,94,"dance pop, pop, pop rap","Pop, Hip Hop","The Beginning",2010-01-01,03:39,66,63,19,0,26,10,10,-9,C Minor,4,2024-04-29,3JA9Jsuxr4xgHXEawAdCp4,"A&M",5A,,https://i.scdn.co/image/ab67616d000048519efc623f9c64c8efb583b186
11,"Toxic","Britney Spears",85,143,"dance pop, pop","Pop","In The Zone",2003-11-13,03:18,77,84,2,3,92,10,20,-4,F Minor,4,2024-04-29,6I9VzXrHxO9rA9A5euc8Ak,"Jive",4A,https://p.scdn.co/mp3-preview/6de2791f84c1d637a0e24734b6df3997cc742da4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851efc6988972cb04105f002cd4
12,"Runaway (U & I)","Galantis",79,126,"dance pop, edm, pop, pop dance","Pop, Electronic","Pharmacy",2015-06-05,03:47,51,81,1,0,38,0,0,-4,C♯/D♭ Major,4,2024-04-29,46lFttIf5hnUZMGvjK0Wxo,"Big Beat Records/Atlantic",3B,https://p.scdn.co/mp3-preview/07fb66554af09f90798cadd77255c35df6dda8f4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512b517912fd69652ff10d8e11
13,"Kiss Me Thru The Phone","Soulja Boy,Sammie",78,150,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap, hip pop, r&b, urban contemporary","Hip Hop, Pop, R&B","iSouljaBoyTellem",2008-01-01,03:13,76,71,2,0,80,10,0,-4,G Major,4,2024-04-29,2q4rjDy9WhaN3o9MvDbO21,"Collipark / Interscope",9B,,https://i.scdn.co/image/ab67616d000048516aef62bd0a60aac7df9a9e37
14,"Pocketful of Sunshine","Natasha Bedingfield",77,110,"dance pop, pop, post-teen pop","Pop","Pocketful Of Sunshine",2007-04-27,03:22,72,88,19,0,66,0,0,-4,A Minor,4,2024-04-29,1uigwk5hNV84zRd5YQQRTk,"Epic/Phonogenic",8A,https://p.scdn.co/mp3-preview/5eacff49868206fed1c068e6707315cef0d904fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851861f87fea3ad0f7b23453780
15,"Everybody Talks","Neon Trees",80,155,"modern rock, neo mellow, pop rock, pov: indie","Rock, Folk/Acoustic, Pop","Picture Show",2012-01-01,02:57,47,92,0,0,73,0,30,-4,G#/A♭ Major,4,2024-04-29,2iUmqdfGZcHIhS3b9E9EWq,"Mercury Records",4B,,https://i.scdn.co/image/ab67616d000048514a6c0376235e5aa44e59d2c2
16,"Die Young","Kesha",80,128,"dance pop, pop","Pop","Warrior (Expanded Edition)",2012-11-30,03:31,71,70,0,0,80,0,20,-5,C♯/D♭ Minor,4,2024-04-29,7EQGXaVSyEDsCWKmUcfpLk,"Kemosabe Records/RCA Records",12A,https://p.scdn.co/mp3-preview/237e17c6319aa02a1fde3ebcd89c5e5e3e03dbf8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485176c5c62197115a22b23ff950
17,"Last Friday Night (T.G.I.F.)","Katy Perry",76,126,"pop","Pop","Teenage Dream",2010-01-01,03:50,65,81,0,0,72,0,60,-4,D#/E♭ Minor,4,2024-04-29,3avYqdwHKEq8beXbeWCKqJ,"Capitol Records",2A,,https://i.scdn.co/image/ab67616d00004851d20c38f295039520d688a888
18,"Summer","Calvin Harris",85,128,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance","Pop, Electronic","Motion",2014-10-31,03:42,60,86,2,2,74,0,10,-4,E Minor,4,2024-04-29,6YUTL4dYpB9xZO5qExPf05,"Columbia",9A,https://p.scdn.co/mp3-preview/a6fc9fe137bd7d0b3377309f8235eddf449866e5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851063c048e9ef6bd021b744756
19,"Lights - Sped Up Version","Ellie Goulding,Speed Radio",70,133,"indietronica, metropopolis, pop, uk pop, sped up","Pop, Electronic","Lights (Sped Up Version)",2022-07-01,03:10,65,84,5,30,80,0,10,-6,A#/B♭ Minor,4,2024-04-29,4TZ2Ub8bZh4LTs06eANDXa,"UMC (Universal Music Catalogue)",3A,,https://i.scdn.co/image/ab67616d00004851bb4cc06a0334303c3684b776
20,"Meet Me Halfway","Black Eyed Peas",72,130,"dance pop, pop, pop rap","Pop, Hip Hop","THE E.N.D. (THE ENERGY NEVER DIES)",2009-01-01,04:44,80,63,0,0,40,0,30,-7,B Minor,4,2024-04-29,6wOYnPq1hPihRepcDClPUw,"Interscope",10A,,https://i.scdn.co/image/ab67616d00004851382514f0114ba8f4a16d5db4
21,"Beautiful Girls","Sean Kingston",80,130,"dance pop, miami hip hop, pop","Pop, Hip Hop","Beautiful Girls",2007-07-23,03:45,76,66,15,0,77,0,20,-6,C♯/D♭ Minor,4,2024-04-29,1hGy2eLcmC8eKx7qr1tOqx,"Epic",12A,https://p.scdn.co/mp3-preview/65d63a1abee5ff1727c1cd5f717a9044d5c24ee7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516a45d20e414fbc456ecea553
22,"Complicated","Avril Lavigne",82,78,"canadian pop, candy pop, dance pop, pop","Pop","Let Go",2002-06-04,04:04,59,78,6,0,43,0,30,-6,F Major,4,2024-04-29,5xEM5hIgJ1jjgcEBfpkt2F,"Arista",7B,https://p.scdn.co/mp3-preview/34657059f6a40050f96e3cbf3d929aa595f5dd60?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7ec724fbf97a30869d06240
23,"The Way I Are","Timbaland,Keri Hilson,D.O.E.",84,115,"dance pop, pop, pop rap, hip pop, r&b, urban contemporary, ","Pop, Hip Hop, R&B","Shock Value",2007-01-01,02:59,73,81,18,75,77,10,30,-6,D#/E♭ Minor,4,2024-04-29,2bLqfJjuC5syrsgDsZfGmn,"Interscope/Blackground Records",2A,,https://i.scdn.co/image/ab67616d000048514ed674ab91bdc566534f9285
24,"Grenade","Bruno Mars",79,110,"dance pop, pop","Pop","Doo-Wops & Hooligans",2010-10-05,03:42,70,56,15,0,25,0,10,-7,D Minor,4,2024-04-29,2tJulUYLDKOg9XrtVkMgcJ,"Atlantic Records",7A,https://p.scdn.co/mp3-preview/5221be592c832e14506f6304ff1deb6c52ae3fee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f6b55ca93bd33211227b502b
25,"Habits (Stay High)","Tove Lo",76,110,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop","Pop, Electronic","Queen Of The Clouds",2014-01-01,03:29,73,65,7,0,35,0,0,-4,F Major,4,2024-04-29,14OxJlLdcHNpgsm4DRwDOB,"Universal Music AB",7B,,https://i.scdn.co/image/ab67616d00004851edbdf62135e9112a98bffa0c
26,"Lights - Single Version","Ellie Goulding",63,120,"indietronica, metropopolis, pop, uk pop","Pop, Electronic","Lights",2010-00-00,03:31,68,79,3,5,81,0,10,-6,G#/A♭ Minor,4,2024-04-29,7gUpO6td4OOnu0Lf9vhcIV,"Polydor Records",1A,,https://i.scdn.co/image/ab67616d00004851a992179a520d2eb38fa41e64
27,"This Love","Maroon 5",84,95,"pop","Pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,03:26,71,86,5,0,81,0,0,-5,F Minor,4,2024-04-29,6ECp64rv50XVz93WvxXMGF,"Interscope Records*",4A,,https://i.scdn.co/image/ab67616d0000485192f2d790c6a97b195f66d51e
28,"Give Me Everything (feat. Nayer)","Pitbull,AFROJACK,Ne-Yo,Nayer",86,129,"dance pop, miami hip hop, pop, big room, dutch house, edm, electro house, pop dance, r&b, urban contemporary, deep dance pop","Electronic, Pop, Hip Hop, R&B","Planet Pit (Deluxe Version)",2011-06-17,04:12,67,94,19,0,53,10,30,-3,G#/A♭ Major,4,2024-04-29,4QNpBfC0zvjKqPJcyqBy9W,"Mr.305/Polo Grounds Music/J Records",4B,https://p.scdn.co/mp3-preview/6eafa4293d2b35b2e75ffab5ec1bba8ec00d5082?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511dc7483a9fcfce54822a2f19
29,"S&M","Rihanna",83,128,"barbadian pop, pop, urban contemporary","Pop, Hip Hop","Loud (Japan Version)",2010-01-01,04:03,77,68,1,0,84,0,0,-5,C♯/D♭ Major,4,2024-04-29,7ySUcLPVX7KudhnmNcgY2D,"Def Jam Recordings",3B,,https://i.scdn.co/image/ab67616d0000485131548865f7c729290b96c794
30,"Rude","MAGIC!",84,144,"pop, reggae fusion","Pop","Don't Kill the Magic",2014-06-25,03:44,77,76,4,0,93,0,30,-5,C♯/D♭ Major,4,2024-04-29,6RtPijgfPKROxEzTHNRiDp,"Latium Records/RCA Records",3B,https://p.scdn.co/mp3-preview/7cdc54190cf06e5269d8406c5a7bba71a7e04cf1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851604f8ac39f15d287e251f193
31,"TiK ToK","Kesha",85,120,"dance pop, pop","Pop","Animal (Expanded Edition)",2010-01-01,03:19,76,84,10,0,71,10,20,-3,D Minor,4,2024-04-29,0HPD5WQqrq7wPWR7P7Dw1i,"RCA Records Label",7A,https://p.scdn.co/mp3-preview/ea95bec21bd6c4979cc91f5d5528b533d879905c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a6339d6ddfd579f77559b3c
32,"Treasure","Bruno Mars",81,116,"dance pop, pop","Pop","Unorthodox Jukebox",2012-12-07,02:58,87,69,4,0,94,0,30,-5,F Minor,4,2024-04-29,55h7vJchibLdUkxdlX3fK7,"Atlantic Records",4A,https://p.scdn.co/mp3-preview/2265c5b16b2e19f65da045df41cf2b4b8fd66ea3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851926f43e7cce571e62720fd46
33,"Paparazzi","Lady Gaga",73,115,"art pop, dance pop, pop","Pop","The Fame",2008-01-01,03:28,76,69,11,0,40,0,0,-4,F Minor,4,2024-04-29,7Hqig8kp32q2Ire3ECQvWM,"Interscope",4A,,https://i.scdn.co/image/ab67616d00004851631810af03785dbad83f5c81
34,"In Da Club","50 Cent",75,90,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","Hip Hop","Get Rich Or Die Tryin'",2003-02-06,03:13,90,72,26,0,81,30,0,-3,F#/G♭ Minor,4,2024-04-29,4RY96Asd9IefaL3X4LOLZ8,"Shady Records",11A,,https://i.scdn.co/image/ab67616d00004851f7f74100d5cc850e01172cbf
35,"Shower","Becky G",78,120,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino","Pop, Latin","Shower",2014-04-23,03:26,70,53,3,0,12,0,20,-8,D Major,4,2024-04-29,3DmW6y7wTEYHJZlLo1r6XJ,"Kemosabe Records/RCA Records",10B,https://p.scdn.co/mp3-preview/147f604daafe57187f50f6dafa5a052262eedad5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7f5503cfc6a54d31e65b112
36,"Shut Up And Drive","Rihanna",67,133,"barbadian pop, pop, urban contemporary","Pop, Hip Hop","Good Girl Gone Bad",2007-01-01,03:32,74,83,0,13,74,0,20,-5,C♯/D♭ Major,4,2024-04-29,4QdX6pmNnJ5cleufWQIr5D,"Def Jam Recordings",3B,,https://i.scdn.co/image/ab67616d00004851b9ff0a5f40d3406aed5e5e3b
37,"Can't Feel My Face","The Weeknd",83,108,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Beauty Behind The Madness",2015-08-28,03:33,71,77,11,0,58,0,10,-6,A Minor,4,2024-04-29,22VdIZQfgXJea34mQxlt81,"Universal Republic Records",8A,,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b
38,"Little Talks","Of Monsters and Men",81,103,"folk-pop, metropopolis, modern rock, stomp and holler","Pop, Electronic, Rock, Folk/Acoustic","My Head Is An Animal",2012-01-01,04:26,46,76,2,0,42,0,10,-5,C♯/D♭ Major,4,2024-04-29,2ihCaVdNZmnHZWt0fvAM7B,"Universal Records",3B,,https://i.scdn.co/image/ab67616d00004851cb3f67e8026e2e493a1e8262
39,"Poker Face","Lady Gaga",78,119,"art pop, dance pop, pop","Pop","The Fame",2008-01-01,03:57,85,81,12,0,79,0,10,-5,E Major,4,2024-04-29,5R8dQOPq8haW94K7mgERlO,"Interscope",12B,,https://i.scdn.co/image/ab67616d00004851631810af03785dbad83f5c81
40,"Locked out of Heaven","Bruno Mars",89,144,"dance pop, pop","Pop","Unorthodox Jukebox",2012-12-07,03:53,73,70,5,0,87,0,30,-4,F Major,4,2024-04-29,3w3y8KPTfNeOKPiqUTakBh,"Atlantic Records",7B,https://p.scdn.co/mp3-preview/5a0318e6c43964786d22b9431af35490e96cff3d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851926f43e7cce571e62720fd46
41,"Your Love Is My Drug","Kesha",73,120,"dance pop, pop","Pop","Animal (Expanded Edition)",2010-01-01,03:07,83,61,1,0,76,10,0,-4,C♯/D♭ Major,4,2024-04-29,6vc2Jq2vaGu8z326kSrw92,"RCA Records Label",3B,https://p.scdn.co/mp3-preview/8fc78e277e1e5249c6d43078533d55df5e3378de?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a6339d6ddfd579f77559b3c
42,"I Love It (feat. Charli XCX)","Icona Pop,Charli XCX",76,126,"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop, art pop, pop, uk pop","Pop, Electronic","THIS IS... ICONA POP",2013-08-27,02:37,71,91,1,0,82,0,10,-3,G#/A♭ Major,4,2024-04-29,6HZ9VeI5IRFCNQLXhpF4bq,"Record Company TEN/Big Beat/ATL",4B,https://p.scdn.co/mp3-preview/429e91c9cdcf45a97960ab87560953e894aac997?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514e2e6035e60579c7bdc6fb33
43,"Stereo Love - Radio Edit","Edward Maya,Vika Jigulina",67,127,"romanian house, romanian pop, moldovan pop","Pop, Electronic","Stereo Love",2009-00-00,03:05,78,73,4,2,21,0,10,-6,A Major,4,2024-04-29,11Iv8RCFmeImLOpaHYxKb4,"Ultra Records, LLC",11B,https://p.scdn.co/mp3-preview/430a1d6601ac24d1b0d01c5ca2e9e3046ab02c09?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851695991d6f4a544a05df4c1c0
44,"Sk8er Boi","Avril Lavigne",78,150,"canadian pop, candy pop, dance pop, pop","Pop","Let Go",2002-06-04,03:24,49,90,0,0,48,0,30,-4,C Major,4,2024-04-29,00Mb3DuaIH1kjrwOku9CGU,"Arista",8B,https://p.scdn.co/mp3-preview/7891901b2270cc8ef724f64db5bb97be081329d6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7ec724fbf97a30869d06240
45,"Gimme More","Britney Spears",82,113,"dance pop, pop","Pop","Blackout",2007-10-25,04:11,79,84,25,0,38,0,0,-3,D Major,4,2024-04-29,6ic8OlLUNEATToEFU3xmaH,"Jive",10B,https://p.scdn.co/mp3-preview/cf83b67397b97a1634547c6194086c1102e89b36?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca10fae7d292c52f7e8b11ca
46,"Blurred Lines","Robin Thicke,T.I.,Pharrell Williams",75,120,"dance pop, neo soul, pop rap, r&b, urban contemporary, atl hip hop, dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap, pop","Hip Hop, Pop, R&B","Blurred Lines (Deluxe)",2013-01-01,04:23,85,60,0,0,84,0,0,-5,G Major,4,2024-04-29,0n4bITAu0Y0nigrz3MFJMb,"The Neptunes",9B,,https://i.scdn.co/image/ab67616d00004851bf4733171d920f2a62b24713
47,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk,Pharrell Williams,Nile Rodgers",80,116,"electro, filter house, rock, dance pop, pop, disco","Pop, R&B, Hip Hop, Electronic, Rock","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]",2013-04-19,04:08,79,81,4,0,86,0,10,-9,F#/G♭ Minor,4,2024-04-29,2Foc5Q5nqNiosCNqttzHof,"Columbia",11A,https://p.scdn.co/mp3-preview/9b7eaf7fb5cab29251df52e9a4f46fad14e29aa1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511d5cf960a92bb8b03fc2be7f
48,"We R Who We R","Kesha",75,120,"dance pop, pop","Pop","Cannibal (Expanded Edition)",2010-11-19,03:24,74,82,1,0,65,0,10,-5,G#/A♭ Major,4,2024-04-29,3LUWWox8YYykohBbHUrrxd,"RCA Records Label",4B,https://p.scdn.co/mp3-preview/87e275c268cbc6f76b509f4dd237bcea41d92059?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513556ff5e46e50eb27be71ebe
49,"The Sweet Escape","Gwen Stefani,Akon",75,120,"dance pop, pop","Pop","The Sweet Escape",2006-01-01,04:06,76,77,19,0,73,0,10,-4,C♯/D♭ Major,4,2024-04-29,66ZcOcouenzZEnzTJvoFmH,"Interscope",3B,,https://i.scdn.co/image/ab67616d000048518dd53da15b55d402dfc3a20e
50,"Everytime We Touch","Cascada",75,142,"eurodance, europop, german techno, melbourne bounce international","Pop, Electronic","Everytime We Touch (Premium Edition)",2010-02-12,03:17,63,98,0,0,49,0,30,-5,G#/A♭ Major,4,2024-04-29,5YJtMNWKe55yr49cyJgxva,"Zoo Digital",4B,https://p.scdn.co/mp3-preview/5c620922d3b2422a7143f75d5d143a48ab2910b7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e0c8b75abb6704283aa645aa
51,"Fortnight (feat. Post Malone)","Taylor Swift,Post Malone",93,96,"pop, dfw rap, melodic rap, rap","Hip Hop, Pop","THE TORTURED POETS DEPARTMENT",2024-04-18,03:48,68,40,50,0,32,0,0,-11,B Major,4,2024-04-29,2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift",1B,,https://i.scdn.co/image/ab67616d000048515076e4160d018e378f488c33
