#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
151,"Drive","Incubus",80,91,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock","Metal, Rock","Make Yourself",1999-10-26,03:52,65,79,6,1,67,0,10,-7,E Minor,4,2024-04-29,7nnWIPM5hwE3DaUBkvOIpy,"Epic/Immortal",9A,https://p.scdn.co/mp3-preview/7948a397a8d6e2e9d37ea4827235fbe254463b66?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485174fad40214d982351347e46e
152,"Float On","Modest Mouse",77,101,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie","Rock, Pop","Good News For People Who Love Bad News",2004-04-05,03:28,65,89,1,0,55,0,0,-5,F#/G♭ Major,4,2024-04-29,2lwwrWVKdf3LR9lbbhnr6R,"Epic",2B,https://p.scdn.co/mp3-preview/9241188a00b7ae5feb607bf10c21a067c83ed487?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cc68329bfbf34037df965dc1
153,"Bartender Song (Sittin' At A Bar) - Alt/Rock Mix","Rehab",63,152,"redneck","Hip Hop","Graffiti The World",2005-00-00,03:49,67,67,12,0,71,0,30,-6,E Major,4,2024-04-29,1gewemPOUilb21s7CfMS55,"Universal Records",12B,,https://i.scdn.co/image/ab67616d00004851849e5870ecd098e9996688a0
154,"Blister In The Sun","Violent Femmes",73,97,"acoustic punk, alternative rock, punk","Folk/Acoustic, Rock","Violent Femmes",1983-01-01,02:25,73,54,32,0,88,10,0,-9,C Major,4,2024-04-29,7jIAttgQTpLDoNtykIQXjH,"Craft Recordings",8B,,https://i.scdn.co/image/ab67616d0000485154096a7f898de0233d76f626
155,"Howlin' for You","The Black Keys",71,133,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock","Rock, Pop, Blues","Brothers",2010-05-18,03:11,71,74,3,8,45,0,10,-7,B Major,4,2024-04-29,0grFc6klR3hxoHLcgCYsF4,"Nonesuch",1B,https://p.scdn.co/mp3-preview/a45f4f7664e524e67faebc5a0ae53ae94a17672a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485143f5bd543a2a1ab37fb40a8b
156,"Brain Stew","Green Day",77,76,"modern rock, permanent wave, punk, rock","Rock","Insomniac",1995-10-10,03:13,56,54,0,0,34,30,0,-5,C♯/D♭ Major,4,2024-04-29,1nLnpLXvl68RZCSjfkyiaa,"Reprise",3B,https://p.scdn.co/mp3-preview/5488d08f012ea906930adb7c714d95a5a8552326?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ac9a652335cf34de9a65292a
157,"Buddy Holly","Weezer",76,121,"alternative rock, modern power pop, modern rock, permanent wave, rock","Rock, Pop","Weezer",1994-05-10,02:39,56,92,0,0,77,0,10,-5,G#/A♭ Major,4,2024-04-29,3mwvKOyMmG77zZRunnxp9E,"DGC",4B,,https://i.scdn.co/image/ab67616d00004851345536847e60f622ee0eae96
158,"Californication","Red Hot Chili Peppers",85,96,"alternative rock, funk metal, funk rock, permanent wave, rock","Rock, Metal","Californication (Deluxe Edition)",1999-06-08,05:29,59,77,0,0,33,0,10,-3,A Minor,4,2024-04-29,48UPSzbZjgc449aqz8bxox,"Warner Records",8A,https://p.scdn.co/mp3-preview/0fd595c5b63db10f4a99683f8248ea5d13700683?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485194d08ab63e57b0cae74e8595
159,"Chop Suey!","System Of A Down",86,127,"alternative metal, nu metal, rap metal, rock","Metal, Rock","Toxicity",2001-09-04,03:30,42,93,0,0,29,10,10,-4,G Minor,4,2024-04-29,2DlHlPMa4M17kufBvI2lEN,"American/Columbia",6A,https://p.scdn.co/mp3-preview/d536012652d7c99c472fe3811312ce3026f2196b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485130d45198d0c9e8841f9a9578
160,"Lump","The Presidents Of The United States Of America",72,142,"alternative rock, grunge, pop rock","Rock","The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition",1995-01-01,02:14,51,88,1,0,91,0,10,-4,F#/G♭ Major,4,2024-04-29,02ZdZqhpfrPnxwyakXgxB8,"PUSA Music",2B,https://p.scdn.co/mp3-preview/d7784790327227c50699e2f6efc33414569d37d3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f26fe2d28f3ea184db9be5a2
161,"Gold on the Ceiling","The Black Keys",76,130,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock","Rock, Pop, Blues","El Camino",2011-12-06,03:44,51,83,1,0,56,0,0,-5,C Major,4,2024-04-29,5lN1EH25gdiqT1SFALMAq1,"Nonesuch",8B,https://p.scdn.co/mp3-preview/fb86bf4a03ad45e4e0d3b74f537ea811c60b4ccf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516a21b97de47168df4f0c1993
162,"I Hate Everything About You","Three Days Grace",79,89,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock","Metal, Rock","Three Days Grace",2003-04-19,03:51,50,83,0,0,45,0,10,-5,F#/G♭ Minor,4,2024-04-29,0M955bMOoilikPXwKLYpoi,"Jive",11A,https://p.scdn.co/mp3-preview/a6c3822f2022bda6d8067f0e9b62a55368130009?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485177922eaa071fb388270f203f
163,"Misery Business","Paramore",77,173,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock","Pop, Rock","Riot!",2007-06-11,03:31,52,91,0,0,73,0,10,-4,C♯/D♭ Major,4,2024-04-29,6SpLc7EXZIPpy0sVko0aoU,"Fueled By Ramen",3B,https://p.scdn.co/mp3-preview/ba87b3463a795afa81ee18d3fbb116bb7793140e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bee754528c08d5ff6799a1eb
164,"The Middle","Jimmy Eat World",84,162,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock","Metal, Rock, Pop","Bleed American",2001-07-17,02:45,64,85,4,0,90,0,0,-5,D Major,4,2024-04-29,6GG73Jik4jUlQCkKg9JuGO,"Interscope",10B,,https://i.scdn.co/image/ab67616d0000485195d1d98c5176e4f982bd73d6
165,"Savior","Rise Against",79,112,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, post-grunge, punk","Metal, Rock","Appeal To Reason",2008-01-01,04:02,55,93,0,0,48,0,40,-3,F Minor,4,2024-04-29,1vcxF91pWs9uNwDROuiCPB,"Geffen",4A,,https://i.scdn.co/image/ab67616d00004851eaa10fffa60de320846c28be
166,"Sloth's Revenge","Dirty Heads",55,96,"reggae fusion, reggae rock","Pop, Rock","Home | Phantoms of Summer: The Acoustic Sessions",2013-10-29,03:33,83,55,53,0,73,0,10,-7,E Major,4,2024-04-29,1cCt3hN5WlWtkez7nFHerz,"Endurance Music Group",12B,https://p.scdn.co/mp3-preview/f12f10b71792e5dcf1061df40784f5cdfd44a132?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485177562bc548061ac08b803b88
167,"Say It Ain't So","Weezer",77,152,"alternative rock, modern power pop, modern rock, permanent wave, rock","Rock, Pop","Weezer",1994-05-10,04:18,63,55,1,0,45,0,0,-7,D#/E♭ Major,4,2024-04-29,6VoIBz0VhCyz7OdEoRYDiA,"DGC",5B,,https://i.scdn.co/image/ab67616d00004851345536847e60f622ee0eae96
168,"Smoke Two Joints","Sublime",66,95,"rap rock, reggae fusion, ska mexicano, ska punk","Rock, Pop, Latin, Folk/Acoustic","40oz. To Freedom",1992-06-01,02:53,76,69,0,1,32,10,20,-6,G Major,4,2024-04-29,0Jur3mZsQba3vqSpcmsOPm,"Gasoline Alley",9B,,https://i.scdn.co/image/ab67616d00004851d77299e3d29f44495cd7fbcb
169,"Flagpole Sitta","Harvey Danger",66,145,"pop rock, post-grunge","Rock, Metal","Where Have All The Merrymakers Gone?",1997-01-01,03:37,36,90,0,0,48,0,20,-4,E Minor,4,2024-04-29,7cz70nyRXlCJOE85whEkgU,"Decca Music Group Ltd.",9A,,https://i.scdn.co/image/ab67616d00004851868d99be4de6929eeac899ba
170,"You're Gonna Go Far, Kid","The Offspring",82,126,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk","Metal, Rock, Pop","Rise And Fall, Rage And Grace",2008-06-17,02:57,55,92,0,0,60,0,20,-3,C Major,4,2024-04-29,6TfBA04WJ3X1d1wXhaCFVT,"Round Hill Music (Offspring)",8B,,https://i.scdn.co/image/ab67616d00004851890ce61533a89e00ce593fcb
171,"Prayer Of The Refugee","Rise Against",68,196,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, post-grunge, punk","Metal, Rock","The Sufferer & The Witness",2006-01-01,03:19,20,98,0,0,39,10,20,-3,D#/E♭ Minor,4,2024-04-29,4OSbctVD37ycS0H3rwRm72,"Geffen",2A,,https://i.scdn.co/image/ab67616d0000485190fef039e01409cb5a8d560c
172,"My Name Is Human","Highly Suspect",62,140,"modern alternative rock, modern rock, post-grunge","Rock, Metal","The Boy Who Died Wolf",2016-11-18,04:18,52,70,0,0,19,0,0,-6,D Minor,4,2024-04-29,1euszbbvkUzQzIhZUWFmXG,"300 Entertainment",7A,https://p.scdn.co/mp3-preview/97b3459000674973e1cb30c8d1d2f4d36743c73f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510412a482b98670e4d98a55fd
173,"Erase Me - Main","Kid Cudi,Kanye West",70,186,"hip hop, ohio hip hop, pop rap, rap, chicago rap","Hip Hop","Man On The Moon II: The Legend Of Mr. Rager",2010-11-09,03:12,69,63,6,0,85,10,10,-6,A Major,4,2024-04-29,6XkuklKiHYVTlVvWlTgQYP,"Kid Cudi/Universal Records",11B,,https://i.scdn.co/image/ab67616d0000485159e842b6a3566a141f27f815
174,"Bleed It Out","Linkin Park",82,140,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock","Minutes to Midnight",2007-05-14,02:44,53,97,11,0,60,0,60,-4,C♯/D♭ Minor,4,2024-04-29,0UFDKFqW2oGspYeYqo9wjA,"Warner Records",12A,https://p.scdn.co/mp3-preview/1440e6e73c1d0f4db4a64175e26ca250097733c8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516e996745f2c7b8036abef213
175,"My Hero","Foo Fighters",78,77,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","Metal, Rock","The Colour And The Shape",1997-05-20,04:20,40,93,0,0,31,0,0,-4,A Major,4,2024-04-29,4dVbhS6OiYvFikshyaQaCN,"RCA Records Label",11B,https://p.scdn.co/mp3-preview/5ffdbc197d59a4bc15611a49ef51f23009432dbb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510389027010b78a5e7dce426b
176,"Santeria","Sublime",80,91,"rap rock, reggae fusion, ska mexicano, ska punk","Rock, Pop, Latin, Folk/Acoustic","Sublime",1996-07-30,03:02,68,77,3,0,57,0,10,-5,C♯/D♭ Minor,4,2024-04-29,2hnMS47jN0etwvFPzYk11f,"Gasoline Alley",12A,,https://i.scdn.co/image/ab67616d000048518fc4b0dcfb9509553f195c85
177,"A-Punk","Vampire Weekend",71,175,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock","Pop, Rock","Vampire Weekend",2008-01-29,02:17,55,82,1,4,85,0,10,-4,D Major,4,2024-04-29,3AydAydLzyyZutA0375XIz,"XL Recordings",10B,https://p.scdn.co/mp3-preview/3afe492f2ee66f7a77041a6a5c2a5f4b523fe3d1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eabfe5d94aad05cb6485444b
178,"Bulls On Parade","Rage Against The Machine",76,166,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock","Metal, Rock, Hip Hop","Evil Empire",1996-04-16,03:49,41,92,1,6,57,10,40,-7,F Major,4,2024-04-29,0tZ3mElWcr74OOhKEiNz1x,"Epic",7B,https://p.scdn.co/mp3-preview/c1626784be02379a8ec2fa5f7d7f735c1eda772b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851053f006079bce979e5fef1e1
179,"Paralyzer","Finger Eleven",77,106,"alternative metal, canadian rock, funk metal, nu metal, post-grunge","Metal, Rock","Them Vs. You Vs. Me (Deluxe Edition)",2007-01-01,03:28,64,94,16,0,86,0,20,-3,B Minor,4,2024-04-29,28IEbk5a7twNTbUEvWslUb,"The Bicycle Music Company",10A,,https://i.scdn.co/image/ab67616d00004851e9c3c16b480e1c5a84d7b188
180,"Sour Patch Kids","Bryce Vine",56,153,"indie pop rap","Hip Hop","Lazy Fair",2014-00-00,04:12,48,78,2,0,57,0,20,-5,E Major,4,2024-04-29,5j1RbIusbzWyzpGmUOjzOW,"Kiva House Lambroza",12B,https://p.scdn.co/mp3-preview/a362743e8fa11ac994ff8ea507660ab538cf7e16?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511555331635341142a75d196f
181,"Beverly Hills","Weezer",72,88,"alternative rock, modern power pop, modern rock, permanent wave, rock","Rock, Pop","Make Believe",2005-05-10,03:16,69,82,9,0,74,0,30,-4,F Major,4,2024-04-29,1yKu2MhpwzDXXH2tzG6xoa,"Geffen",7B,,https://i.scdn.co/image/ab67616d00004851a9def696688b8353ad8511ad
182,"Lydia","Highly Suspect",63,128,"modern alternative rock, modern rock, post-grunge","Rock, Metal","Mister Asylum",2015-07-17,04:02,42,71,1,0,51,0,40,-5,F#/G♭ Minor,4,2024-04-29,7yoBjKO6cCnK3zV8gr1k4e,"300 Entertainment",11A,https://p.scdn.co/mp3-preview/29d9b2aaa56bbfbb6f6214f2cc71954f101c7fb5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b7897784eee989d4f97f8579
183,"The Pretender","Foo Fighters",81,173,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","Metal, Rock","Echoes, Silence, Patience & Grace",2007-09-25,04:29,43,96,0,0,37,0,0,-4,A Major,4,2024-04-29,7x8dCjCr0x6x2lXKujYD34,"RCA Records Label",11B,https://p.scdn.co/mp3-preview/23a6ace3679431062d5e6f0bc60a514f3a26da4e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485183e260c313dc1ff1f17909cf
184,"What I Got","Sublime",76,96,"rap rock, reggae fusion, ska mexicano, ska punk","Rock, Pop, Latin, Folk/Acoustic","Sublime",1996-07-30,02:50,80,70,1,0,66,0,30,-7,G Major,4,2024-04-29,3B4q6KbHbGV51HO3GznBFF,"Gasoline Alley",9B,,https://i.scdn.co/image/ab67616d000048518fc4b0dcfb9509553f195c85
185,"Dance, Dance","Fall Out Boy",79,114,"emo, modern rock, pop, rock","Rock, Pop","From Under The Cork Tree",2005-05-03,03:00,62,96,1,0,45,10,0,-3,B Minor,4,2024-04-29,0a7BloCiNzLDD9qSQHh5m7,"Island Records",10A,,https://i.scdn.co/image/ab67616d0000485171565eda831124be86c603d5
186,"The Kids Aren't Alright","The Offspring",84,100,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk","Metal, Rock, Pop","Americana",1998-11-16,03:00,52,94,1,0,77,0,0,-4,C♯/D♭ Major,4,2024-04-29,4EchqUKQ3qAQuRNKmeIpnf,"Round Hill Music (Offspring)",3B,,https://i.scdn.co/image/ab67616d00004851cbd2ee7dff77bfb2b5f0af52
187,"Short Change Hero","The Heavy",62,106,"bath indie, modern blues rock","Rock","The House That Dirt Built",2009-10-05,05:22,68,64,29,1,74,0,10,-7,C♯/D♭ Minor,4,2024-04-29,7JOizhmt3HlBgQyJEa0AgK,"Counter Records / +1 Records",12A,https://p.scdn.co/mp3-preview/8b185617cdcc46f7d0da2798c1fcaa5e3ab773c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851463986d828c59a03f2ab0a3f
188,"There's A War Going On For Your Mind","Flobots",35,88,"conscious hip hop, nerdcore","Hip Hop","Fight With Tools",2008-01-01,01:23,63,68,79,1,30,40,30,-7,A Minor,3,2024-04-29,4ZuWAdlZS2bmkwSMAhHohN,"Flobots/Republic Records",8A,,https://i.scdn.co/image/ab67616d00004851d96d9bc0bd45667c43775ac7
189,"Fat Lip","Sum 41",74,197,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock","Metal, Pop, Rock","All Killer, No Filler",2001-01-01,02:58,40,91,0,0,63,10,0,-5,A Major,4,2024-04-29,4KacUpvbA3Mfo05gttTjhN,"Island Records",11B,,https://i.scdn.co/image/ab67616d000048519a482180e6a306229bff49dc
190,"Fake It","Seether",75,132,"alternative metal, nu metal, post-grunge, south african rock","Metal, Rock","Finding Beauty In Negative Spaces (Bonus Track Version)",2007-01-01,03:13,61,95,0,0,61,0,0,-4,G#/A♭ Major,4,2024-04-29,4eAwB5pnKFTmsgc3zWoYO0,"Fantasy Records",4B,,https://i.scdn.co/image/ab67616d00004851c418220159462cdd7cfeb9a1
191,"Wish You Were Here","Incubus",74,170,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock","Metal, Rock","Morning View",2001-10-23,03:32,25,77,0,30,35,0,10,-7,A Major,4,2024-04-29,6KtLECDztnah63TNmV4Plw,"Epic/Immortal",11B,https://p.scdn.co/mp3-preview/3c423190127a2748aad13610df1d44a36f45c956?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851289320ef78f164a472698926
192,"Doin' Time","Sublime",70,81,"rap rock, reggae fusion, ska mexicano, ska punk","Rock, Pop, Latin, Folk/Acoustic","Sublime",1996-07-30,04:13,71,76,4,0,55,0,10,-5,G Major,4,2024-04-29,4eamJr2k9YDH8j58RSTmSc,"Gasoline Alley",9B,,https://i.scdn.co/image/ab67616d000048518fc4b0dcfb9509553f195c85
193,"I Love College","Asher Roth",58,86,"indie pop rap","Hip Hop","Asleep In The Bread Aisle",2009-01-01,04:01,71,83,9,0,66,20,40,-4,G#/A♭ Major,4,2024-04-29,1akgiRM3mN2nxu2AX6ACCW,"SRC Records",4B,,https://i.scdn.co/image/ab67616d0000485173aec173d3c1f42884b3563b
194,"Daylight","Matt and Kim",66,103,"brooklyn indie, indietronica, modern rock, shimmer pop","Rock, Pop","Grand",2009-01-20,02:51,57,80,10,0,67,0,10,-5,A Major,4,2024-04-29,57i3M29DWoo7RDk0Tf0LZG,"FADER LABEL",11B,,https://i.scdn.co/image/ab67616d00004851acbe616ad7ba01c2f335dd0a
195,"Gives You Hell","The All-American Rejects",71,100,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge","Metal, Rock, Folk/Acoustic, Pop","When The World Comes Down",2008-01-01,03:33,72,69,2,0,55,0,0,-6,E Major,4,2024-04-29,6ihL9TjfRjadfEePzXXyVF,"Interscope",12B,,https://i.scdn.co/image/ab67616d000048518f6b4035c82eb9cf42e9d8d7
196,"1985","Bowling For Soup",73,120,"neon pop punk, pop punk, pop rock, texas pop punk","Pop, Rock","A Hangover You Don't Deserve",2004-00-00,03:13,61,89,0,0,90,0,30,-4,E Major,4,2024-04-29,5oQcOu1omDykbIPSdSQQNJ,"Jive",12B,https://p.scdn.co/mp3-preview/28326a1495460231b371c04643fd2543f15968f1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f9b3ece3271d3a5fa73d3759
197,"Mary Had a Little Lamb","Stevie Ray Vaughan",61,123,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Texas Flood (Legacy Edition)",1983-00-00,02:46,68,49,9,15,91,0,20,-14,G#/A♭ Major,4,2024-04-29,0nFZ2HQRnIxiwraCm2X6Uq,"Epic/Legacy",4B,https://p.scdn.co/mp3-preview/c60d2062a9fa40f6f3794b74575f6e31637c76fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7143c00741b94bb62025340
198,"Run Through The Jungle","Creedence Clearwater Revival",73,137,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Cosmo's Factory",1970-07-24,03:05,64,76,2,18,84,0,10,-6,G Major,4,2024-04-29,5VfgDw3oOzcNoszDwkLQhH,"Craft Recordings.",9B,,https://i.scdn.co/image/ab67616d000048516e186edfb8fe3710fdc1f7c2
199,"Cajun Moon","J.J. Cale",60,102,"blues, blues rock, folk rock, roots rock, singer-songwriter","Blues, Rock, Folk/Acoustic","Okie",1974-04-30,02:11,81,55,45,16,75,0,10,-15,C♯/D♭ Major,4,2024-04-29,43niiTshfUdTN32wHykv7h,"Universal International Music B.V.",3B,,https://i.scdn.co/image/ab67616d0000485164ce417349958ed70dae8572
200,"Refugee","Tom Petty and the Heartbreakers",67,116,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic","Damn The Torpedoes (Deluxe Edition)",1979-10-19,03:21,58,71,3,0,76,0,0,-5,F#/G♭ Minor,4,2024-04-29,4mcZYzoGwPRDdhWVlygiHf,"Geffen",11A,,https://i.scdn.co/image/ab67616d00004851ebca7d93f21ba366fe005966
