#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
201,"Rikki Don't Lose That Number","Steely Dan",67,116,"album rock, classic rock, country rock, folk rock, mellow gold, rock, soft rock, yacht rock","Rock","Pretzel Logic",1974-02-20,04:32,64,41,82,0,58,0,10,-15,D Major,4,2024-04-29,0xLrMI4R2xTwRHWV3UQCAZ,"Geffen",10B,,https://i.scdn.co/image/ab67616d00004851120746a40f65d11c2ac29647
202,"Scuttle Buttin'","Stevie Ray Vaughan",56,80,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Couldn't Stand The Weather (Legacy Edition)",1984-00-00,01:51,34,73,0,73,86,0,0,-11,G#/A♭ Major,4,2024-04-29,18PhtDBBYxE0vN4YvsZnMy,"Epic/Legacy",4B,https://p.scdn.co/mp3-preview/e8bbe5939d5a6471b9953dc486de4cde7ddad452?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eb72e98b6e645a68cdfe72a4
203,"Going Down","Freddie King",58,168,"blues, blues rock, electric blues, texas blues, traditional blues","Blues, Rock","Getting Ready... (World)",1971-00-00,03:24,56,53,3,0,64,0,10,-11,C Major,4,2024-04-29,2wnjZXcAT3rCjjqxLeHjv7,"EMI Music Special Markets",8B,,https://i.scdn.co/image/ab67616d00004851be4c277f6b8f6bedf7135496
204,"Tombstone Shadow","Creedence Clearwater Revival",53,110,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Green River (Expanded Edition)",1969-08-03,03:38,62,70,4,5,97,0,0,-7,C Major,4,2024-04-29,0dDX6W09aqXumqrKYPuSLd,"Craft Recordings",8B,,https://i.scdn.co/image/ab67616d000048513efcd243aaa5638f55318f91
205,"Call Me The Breeze","J.J. Cale",61,92,"blues, blues rock, folk rock, roots rock, singer-songwriter","Blues, Rock, Folk/Acoustic","Naturally",1972-00-00,02:36,81,42,75,1,84,0,10,-15,B Major,4,2024-04-29,5AQpbyFoQmkOVwmlhKN4ii,"Universal International Music B.V.",1B,,https://i.scdn.co/image/ab67616d0000485136f87f70bd74db7f54652179
206,"Show Me The Way","Peter Frampton",67,130,"album rock, british blues, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, progressive rock, rock, singer-songwriter, soft rock, southern rock","Rock, Blues, Folk/Acoustic","Frampton",1975-01-01,04:03,70,73,43,0,64,0,10,-8,D Major,4,2024-04-29,6BD1X1PeV5UzYUdiVaD2yL,"A&M",10B,,https://i.scdn.co/image/ab67616d000048512aadbe54b2c387d44f49834d
207,"Tell Me","Stevie Ray Vaughan",40,128,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Texas Flood (Legacy Edition)",1983-00-00,02:47,63,68,21,4,96,0,10,-11,C♯/D♭ Minor,4,2024-04-29,5c4m2ddmFaGhOnqZqvvnic,"Epic/Legacy",12A,https://p.scdn.co/mp3-preview/d43fc8c4b731ab5d194b75a94ba8907a39cba7ad?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7143c00741b94bb62025340
208,"I Know A Little","Lynyrd Skynyrd",60,196,"album rock, classic rock, hard rock, rock, southern rock","Rock","Street Survivors",1977-10-17,03:27,38,57,8,0,78,0,10,-12,D Major,4,2024-04-29,2vLhb34HqnPwNCKx0atimx,"Geffen",10B,,https://i.scdn.co/image/ab67616d000048510cc544fe12e6bb1febec85fb
209,"Southbound Again","Dire Straits",45,106,"album rock, classic rock, mellow gold, rock","Rock","Dire Straits",1978-10-07,02:59,81,56,65,44,89,0,0,-12,G Major,4,2024-04-29,6MzKPuwhG9cFVRkKQ7RrtH,"Warner Records",9B,https://p.scdn.co/mp3-preview/3fbccfb2eed6d8871adf8e4565906fed30fc7c9b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485105b07080bdc2dd0e2cf6f008
210,"Travelin' Band","Creedence Clearwater Revival",68,166,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Cosmo's Factory",1970-07-24,02:08,51,96,1,5,96,0,20,-4,F#/G♭ Major,4,2024-04-29,61gWgIkR2YtkIet9XjUc7X,"Craft Recordings.",2B,,https://i.scdn.co/image/ab67616d000048516e186edfb8fe3710fdc1f7c2
211,"Crazy Mama","J.J. Cale",60,96,"blues, blues rock, folk rock, roots rock, singer-songwriter","Blues, Rock, Folk/Acoustic","Naturally",1972-00-00,02:22,83,8,70,21,49,0,0,-19,B Major,4,2024-04-29,7FgjfoVQ6Wn1Nm53N5Upn8,"Universal International Music B.V.",1B,,https://i.scdn.co/image/ab67616d0000485136f87f70bd74db7f54652179
212,"Empty Arms - 1984 Version","Stevie Ray Vaughan",36,148,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Couldn't Stand The Weather (Legacy Edition)",1984-00-00,03:28,35,83,1,0,65,10,30,-9,C♯/D♭ Minor,4,2024-04-29,34FPWRgUUy52vD6TXimqx7,"Epic/Legacy",12A,https://p.scdn.co/mp3-preview/631035caabfcfe32c5db7c61e4dfdd6d99640adb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eb72e98b6e645a68cdfe72a4
213,"Reelin' In The Years","Steely Dan",73,135,"album rock, classic rock, country rock, folk rock, mellow gold, rock, soft rock, yacht rock","Rock","Can't Buy A Thrill",1972-11-01,04:37,49,54,15,0,72,0,0,-17,D Major,4,2024-04-29,1x1XQqhBViz4opcpwc7FVs,"Geffen",10B,,https://i.scdn.co/image/ab67616d000048510ddd7e736f870994f4707947
214,"Alchemy","Philip Sayce",51,115,"modern blues, modern blues rock","Blues, Rock","Peace Machine",2012-09-27,05:06,55,55,3,72,14,0,10,-6,D#/E♭ Minor,3,2024-04-29,3WfjYZbJiVpdjPdeduMLFX,"Philip Sayce",2A,https://p.scdn.co/mp3-preview/bb8265f1cd6128011e431a7715018f68a12be80e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485173187753fc3117e1455eda1a
215,"My Babe","Little Walter",59,158,"blues, chicago blues, harmonica blues, louisiana blues, traditional blues","Blues","The Essential Little Walter",1993-06-08,02:42,68,33,86,0,87,0,30,-11,F Major,4,2024-04-29,4KMXlzvtC8xjLseDqDjpeU,"Geffen",7B,,https://i.scdn.co/image/ab67616d0000485120f3de1822791b066e563a2d
216,"I Heard It Through The Grapevine - Edit","Creedence Clearwater Revival",54,118,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Classic Covers",2019-12-13,03:53,92,63,11,0,75,0,0,-8,D Major,4,2024-04-29,2tpPgG8Xkdbhn5xf77EVPP,"UME - Global Clearing House",10B,,https://i.scdn.co/image/ab67616d00004851b4ab496115d34461ecce69fd
217,"Love Struck Baby","Stevie Ray Vaughan",54,172,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Texas Flood (Legacy Edition)",1983-00-00,02:21,55,87,28,5,97,0,10,-10,G#/A♭ Major,4,2024-04-29,5MVMARaMoclifNmBtPu0dD,"Epic/Legacy",4B,https://p.scdn.co/mp3-preview/cf9fba68eb94cf8e4a1a3e749936d6443c8645c1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7143c00741b94bb62025340
218,"After Midnight","J.J. Cale",65,96,"blues, blues rock, folk rock, roots rock, singer-songwriter","Blues, Rock, Folk/Acoustic","Naturally",1972-00-00,02:23,69,31,17,7,52,0,0,-19,D Major,4,2024-04-29,1PC5GV3OaoXx5em8ttQOMI,"Universal International Music B.V.",10B,,https://i.scdn.co/image/ab67616d0000485136f87f70bd74db7f54652179
219,"Mr. Soul","Buffalo Springfield",58,134,"album rock, blues rock, classic rock, country rock, folk, folk rock, heartland rock, mellow gold, psychedelic rock, rock, soft rock, southern rock","Rock, Folk/Acoustic","Buffalo Springfield Again",1967-10-30,02:52,67,71,11,0,96,0,10,-9,A Major,4,2024-04-29,042v1NacbKJzCyi6nBme7T,"Atlantic Records",11B,https://p.scdn.co/mp3-preview/a78d5d4954fd9a7e6a0e74483545fce8e7229057?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108332e0b0aba8467f891d76f
220,"Take Out Some Insurance","Jimmy Reed",52,111,"blues, chicago blues, harmonica blues, traditional blues","Blues","Rockin' With Reed",1959-01-01,02:23,75,29,66,0,57,0,10,-14,A Major,4,2024-04-29,2TKykeHeVKsBqZC8M3SKcN,"Vee-Jay Records",11B,,https://i.scdn.co/image/ab67616d000048519b757333db6ca9bfa06e9547
221,"Killing Floor","Howlin' Wolf",50,119,"acoustic blues, blues, chicago blues, delta blues, harmonica blues, memphis blues, traditional blues","Blues","The Real Folk Blues",1966-01-11,02:52,72,62,38,0,64,0,30,-10,A Major,4,2024-04-29,1a8vVeidOsauNu6rQmHBRS,"Geffen",11B,,https://i.scdn.co/image/ab67616d00004851b35e834af126be64d5be7f07
222,"Feelin' Blue","Creedence Clearwater Revival",49,102,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Willy And The Poor Boys (Expanded Edition)",1969-11-02,05:06,78,49,44,1,86,0,20,-9,G Major,4,2024-04-29,4YDIm7KU50tf4lXVC4EBzc,"Craft Recordings",9B,,https://i.scdn.co/image/ab67616d000048519f39192f9f8ca1c90847b3e5
223,"Testify","Stevie Ray Vaughan",40,103,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Texas Flood (Legacy Edition)",1983-00-00,03:21,42,83,1,74,90,0,30,-13,C♯/D♭ Major,4,2024-04-29,74OpRjJrrCDj1IpvnYml0T,"Epic/Legacy",3B,https://p.scdn.co/mp3-preview/e2340739e667f83ff3f43da99de01295e46363f5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7143c00741b94bb62025340
224,"Some Kind Of Wonderful - Remastered 1999","Grand Funk Railroad",69,121,"album rock, blues rock, classic rock, country rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic","30 Years Of Funk: 1969-1999 The Anthology",1999-01-01,03:22,86,69,14,0,65,0,30,-7,D Major,4,2024-04-29,1cU34sZG9kF4FYHCoAD0Ib,"Capitol Records",10B,,https://i.scdn.co/image/ab67616d00004851c99253f179319936c4109ae9
225,"One of These Nights - 2013 Remaster","Eagles",73,110,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock","Rock","One of These Nights (2013 Remaster)",1975-06-10,04:51,66,61,6,8,77,0,0,-10,G Major,4,2024-04-29,608xszaAxVh4m7NcKJiAbF,"Rhino/Elektra",9B,https://p.scdn.co/mp3-preview/076bad35fd16728e29c5f0a33a7363745c775345?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515d0a8e54aba5181c79593b94
226,"I Got The Same Old Blues","J.J. Cale",47,91,"blues, blues rock, folk rock, roots rock, singer-songwriter","Blues, Rock, Folk/Acoustic","Okie",1974-04-30,02:59,85,42,35,39,95,0,0,-13,E Minor,4,2024-04-29,2BTMbIArFNAgxmT1t3RmKm,"Universal International Music B.V.",9A,,https://i.scdn.co/image/ab67616d0000485164ce417349958ed70dae8572
227,"Miami Strut","A.C. Reed",35,108,"chicago blues, soul blues","Blues","I'm In The Wrong Business",1987-07-01,02:57,55,88,11,14,86,0,10,-9,G Major,4,2024-04-29,4aOvQiypg5icPO2CLIHkcP,"Alligator Records",9B,https://p.scdn.co/mp3-preview/fbae7a4f1ce64c942de0edffb7b526445cd6479e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f3b3893d52b0bbce953b9590
228,"Good Golly Miss Molly","Creedence Clearwater Revival",58,75,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Bayou Country (Expanded Edition)",1969-01-05,02:41,57,77,18,1,97,0,10,-8,A#/B♭ Minor,4,2024-04-29,6Ip2Ia3DPgc9PJ6hcQW6Xa,"Craft Recordings",3A,,https://i.scdn.co/image/ab67616d000048511afccd261170f1d8f3cadb3d
229,"Wham","Stevie Ray Vaughan",34,100,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Couldn't Stand The Weather (Legacy Edition)",1984-00-00,02:24,28,93,0,94,73,0,10,-10,C♯/D♭ Major,4,2024-04-29,49iIPiiQb6MALjzlIy6k33,"Epic/Legacy",3B,https://p.scdn.co/mp3-preview/50b0de46c8b7417911dcfac71c7c562c1a2d42e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eb72e98b6e645a68cdfe72a4
230,"Peace Frog","The Doors",66,113,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock","Rock","Morrison Hotel",1970-02-09,02:50,64,73,16,0,81,0,60,-7,G Major,4,2024-04-29,5piJiL6aRhvrKBa9YuEfS9,"Rhino/Elektra",9B,https://p.scdn.co/mp3-preview/0062be43a7db86f2caed4faebd554908a728a70f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f12a8a7e0b2cbe16d2bef4dc
231,"Life's Been Good","Joe Walsh",66,99,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, southern rock","Rock, Folk/Acoustic","But Seriously, Folks...",1978-06-01,08:56,51,48,25,1,54,0,10,-13,D Major,4,2024-04-29,2wvMC5EyaaYQwBfiwwY2xE,"Rhino/Elektra",10B,https://p.scdn.co/mp3-preview/4220b4db522c301195461f9aaaa099ca0a4536b5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d6627cd5a3fb6403c70471be
232,"Lies","J.J. Cale",44,87,"blues, blues rock, folk rock, roots rock, singer-songwriter","Blues, Rock, Folk/Acoustic","Really",1973-00-00,02:56,76,34,46,74,75,0,0,-16,F Minor,4,2024-04-29,2XZS4h3PQXM6ZDP71lp7aY,"Universal International Music B.V.",4A,,https://i.scdn.co/image/ab67616d0000485107a5e439dfc0bdceed6c9479
233,"Camp Washington Chili","Lonnie Mack",36,137,"blues, electric blues, modern blues, texas blues","Blues","Second Sight",1986-07-01,02:26,39,79,0,87,83,0,20,-10,F Major,1,2024-04-29,7cR8LqIIxHpwToOPIgJS0a,"Alligator Records",7B,https://p.scdn.co/mp3-preview/90beef0198e9fd53584ecebc45a0683aaae98bd4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512dad405b6b1a91f0d974dd0c
234,"Green River","Creedence Clearwater Revival",76,142,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Green River (Expanded Edition)",1969-08-03,02:34,70,77,3,1,97,0,0,-10,A Major,4,2024-04-29,11DjZQEZ69EXLo77HVj6yW,"Craft Recordings",11B,,https://i.scdn.co/image/ab67616d000048513efcd243aaa5638f55318f91
235,"Honey Bee","Stevie Ray Vaughan",46,124,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Couldn't Stand The Weather (Legacy Edition)",1984-00-00,02:43,49,60,0,5,73,0,20,-11,C♯/D♭ Major,4,2024-04-29,0W4EvXCjLH6OQjtDVzdPWg,"Epic/Legacy",3B,https://p.scdn.co/mp3-preview/c2f86e357112468d5e357d8787d308b9dffff3d0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eb72e98b6e645a68cdfe72a4
236,"Somebody Loan Me A Dime - Remastered","Fenton Robinson",57,118,"blues, electric blues, louisiana blues, swamp blues, traditional blues","Blues","Somebody Loan Me A Dime (Remastered)",1974-09-01,02:56,56,78,64,0,78,10,30,-3,D#/E♭ Major,3,2024-04-29,3CBV8LLmD6YACpUR6P85Di,"Alligator Records",5B,https://p.scdn.co/mp3-preview/48a4b6003e1ee3f212d2d08aa83111365e1618b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b46697654c47720bf3424322
237,"Can't You See","The Marshall Tucker Band",68,164,"album rock, classic rock, country rock, mellow gold, singer-songwriter, soft rock, southern rock","Rock, Folk/Acoustic","The Marshall Tucker Band",1973-00-00,06:05,41,71,28,0,58,0,10,-5,G Major,4,2024-04-29,4fUU9WKxEgJXyrZJsUA2iP,"Ramblin' Records",9B,https://p.scdn.co/mp3-preview/b8b74bd3c682391cbc613a9723da34eb386d469e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bb05d6a2671766e6e633a131
238,"Baby, Please Don't Go (feat. Van Morrison)","Them,Van Morrison",55,106,"british blues, british invasion, protopunk, classic rock, folk, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock","Blues, Rock, Folk/Acoustic","Complete Them (1964-1967) (feat. Van Morrison)",2015-12-04,02:42,72,71,51,0,78,0,10,-7,F Major,4,2024-04-29,5WUgOOaTk00PnksDekcgcg,"Legacy Recordings",7B,https://p.scdn.co/mp3-preview/a60392d65c99453703f72230a0a079ecba7d6781?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851533db4f9b9c1155c371339a5
239,"The Seeker - Original Single A-Side Mix","The Who",61,180,"album rock, british invasion, classic rock, hard rock, rock","Rock","Who’s Next : Life House (Super Deluxe)",2023-09-15,03:12,31,74,2,0,70,0,10,-8,D Major,4,2024-04-29,788cNfvhhitTb5T8GORmqj,"UMC (Universal Music Catalogue)",10B,,https://i.scdn.co/image/ab67616d00004851b738367ec6cdbd3e29d7efdf
240,"Midnight Special","Creedence Clearwater Revival",67,124,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Willy And The Poor Boys (Expanded Edition)",1969-11-02,04:13,76,46,66,0,67,10,10,-9,D Major,4,2024-04-29,5jRQvcl66ovRTjUwzXziZA,"Craft Recordings",10B,,https://i.scdn.co/image/ab67616d000048519f39192f9f8ca1c90847b3e5
241,"Life by the Drop","Stevie Ray Vaughan",56,96,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues","Rock, Blues","Archives",1985-00-00,02:27,66,16,77,0,47,0,0,-12,F#/G♭ Minor,4,2024-04-29,1cyftogE58xHzSgb77zcsn,"Epic/Legacy",11A,https://p.scdn.co/mp3-preview/4dbdc391478551b34e610d871594a1cc46ce30f8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ad6d4102a51c787d5cd3266d
242,"Ramblin' Gamblin' Man","Bob Seger",62,131,"album rock, classic rock, country rock, detroit rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic","Ramblin' Gamblin' Man",1969-04-01,02:25,60,84,2,0,90,0,0,-4,A Major,4,2024-04-29,691Wr3tOjDqic3OTPLouX3,"Capitol Records",11B,,https://i.scdn.co/image/ab67616d000048519d960ec4fee92160122b8189
243,"American Woman - 7" Single Version","The Guess Who",52,93,"album rock, classic canadian rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic","American Woman (Expanded Edition)",1970-01-01,03:51,54,84,4,0,88,0,30,-8,A Major,4,2024-04-29,0emHuukZSuaOzOlsAWHj2W,"RCA/Legacy",11B,https://p.scdn.co/mp3-preview/83105a8b13fe4110a50a534790ca409e0cbc6ce8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d75b73c14d050fbce3d85790
244,"I'd Love to Change the World - 2004 Remaster","Ten Years After",68,118,"blues rock, british blues, classic rock, progressive rock, psychedelic rock","Rock, Blues","A Space in Time (Deluxe Version)",1971-08,03:44,38,52,20,19,37,0,10,-12,A Minor,4,2024-04-29,7n3WO6ESKS1uCI9fgkGs66,"Chrysalis Records",8A,https://p.scdn.co/mp3-preview/ba3952835d48993c3fd39849b3efbe38b903a1cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514aa7956a8d5742ac762699b2
245,"Six Blade Knife","Dire Straits",50,117,"album rock, classic rock, mellow gold, rock","Rock","Dire Straits",1978-10-07,04:13,88,43,8,40,87,0,0,-13,A Minor,4,2024-04-29,7f8mgCngOGhoRNAmhN6GIo,"Warner Records",8A,https://p.scdn.co/mp3-preview/7637f3e7931190c9b9b268856d89c2056aa4568b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485105b07080bdc2dd0e2cf6f008
246,"Before You Accuse Me (Take A Look At Yourself)","Creedence Clearwater Revival",52,120,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Cosmo's Factory",1970-07-24,03:27,78,71,20,13,94,0,30,-9,E Major,4,2024-04-29,0XdmB84JfiqDXofFXJAnxU,"Craft Recordings.",12B,,https://i.scdn.co/image/ab67616d000048516e186edfb8fe3710fdc1f7c2